Date Time,Heater Heat Output,T.F Heater Outlet Flow Transmitter,T.F. Heater Serpentine Coil Outlet Temperature,Heater Outlet Flue Gas O2 Analyzer,T.F. Heater Outlet Flue Gas Temperature,Average T.F. Heater Outlet Temperature,Average T.F. Heater Serpentine Coil Inlet Temperature,Average Furnace Exit Temperature
2024-09-05 13:00:00,4875698.0,507.4453125,227.1999969482422,6.712058544158936,398.1000061035156,239.56666564941406,220.25,730.7000122070312
2024-09-05 13:10:00,4094200.0,502.7109375,227.8000030517578,7.8785080909729,385.2999877929688,238.5666605631511,222.0999984741211,688.7000122070312
2024-09-05 13:20:00,4191934.75,502.8984375,227.1999969482422,7.589156627655029,384.2000122070313,238.0999959309896,221.70000457763672,671.5499877929688
2024-09-05 13:30:00,4170892.0,500.765625,226.6999969482422,7.790798664093018,381.2000122070313,237.0,220.79999542236328,665.1499938964844
2024-09-05 13:40:00,4155147.0,502.5,224.8999938964844,7.4544267654418945,383.6000061035156,235.66666666666666,219.4000015258789,669.1499938964844
2024-09-05 13:50:00,4028562.75,496.5234375,224.0,7.501446723937988,381.7000122070313,234.33333333333334,218.1500015258789,669.1000061035156
2024-09-05 14:00:00,4555846.5,505.9921875,219.1000061035156,7.615378856658935,378.2999877929688,231.06666564941406,214.04999542236328,660.1000061035156
2024-09-05 14:10:00,5158418.0,497.203125,221.1999969482422,6.467917919158936,420.3999938964844,233.16666666666666,212.75,716.7000122070312
2024-09-05 14:20:00,5362612.0,507.7734375,219.8000030517578,6.069155216217041,420.1000061035156,233.03333028157553,212.25,717.0
2024-09-05 14:30:00,5273678.5,503.8359375,220.1999969482422,5.767144203186035,429.3999938964844,233.3333282470703,212.0999984741211,736.2999877929688
2024-09-05 14:40:00,5246887.0,507.0,223.1000061035156,5.8837890625,422.1000061035156,236.0,214.79999542236328,749.3000183105469
2024-09-05 14:50:00,5269832.0,501.8203125,223.6000061035156,5.820493221282959,413.6000061035156,236.79999287923178,215.75,759.8499755859375
2024-09-05 15:00:00,5071471.0,501.4921875,223.6000061035156,6.504991054534912,406.5,236.53333028157553,216.1999969482422,756.75
2024-09-05 15:10:00,4457153.0,503.203125,225.1999969482422,7.453522682189941,394.2999877929688,236.66666666666666,218.75,713.4499816894531
2024-09-05 15:20:00,4453647.5,485.8828125,220.0,7.681387424468994,385.7000122070313,233.0999959309896,215.6000061035156,675.8000183105469
2024-09-05 15:30:00,4775555.0,481.828125,222.8000030517578,6.861255645751953,396.5,235.56666056315103,216.1500015258789,703.3499755859375
2024-09-05 15:40:00,4094015.25,472.9921875,224.5,7.541232585906982,389.2999877929688,235.49999491373697,217.9000015258789,695.1000061035156
2024-09-05 15:50:00,3962624.5,491.15625,224.3000030517578,7.734736442565918,385.1000061035156,234.6999969482422,218.3000030517578,675.3999938964844
2024-09-05 16:00:00,3939417.75,476.578125,224.6999969482422,7.864040851593018,384.6000061035156,235.06666564941406,218.5,670.75
2024-09-05 16:10:00,4008606.75,474.3046875,223.1000061035156,7.758246421813965,378.8999938964844,234.06666056315103,217.4000015258789,641.9000244140625
2024-09-05 16:20:00,4099615.5,471.796875,222.3999938964844,7.8540940284729,381.1000061035156,233.56666056315103,216.45000457763672,662.8499755859375
2024-09-05 16:30:00,4361059.0,482.71875,223.0,7.197627067565918,389.8999938964844,234.4333292643229,216.4000015258789,685.3999938964844
2024-09-05 16:40:00,4141913.75,488.15625,221.1000061035156,7.588252067565918,380.3999938964844,232.26666259765625,215.54999542236328,659.0
2024-09-05 16:50:00,4408086.0,491.4609375,220.8999938964844,6.964337348937988,390.7999877929688,232.46666463216147,214.5,678.7999877929688
2024-09-05 17:00:00,4644834.5,483.1875,222.1000061035156,6.2915940284729,398.5,234.4333292643229,215.25,684.6000061035156
2024-09-05 17:10:00,4452323.5,482.8125,222.1000061035156,6.974283695220947,393.8999938964844,233.8999989827474,215.29999542236328,688.0499877929688
2024-09-05 17:20:00,4970270.0,497.1328125,221.5,6.501374244689941,399.7999877929688,234.3333282470703,214.6999969482422,693.6499938964844
